x,y,z,l
0.1,3,59719680,3537
0.2,4,159252480,16064
0.3,6,1474560000,80136
0.4,6,1105920000,106056
0.5,7,4128768000,209573
0.6,8,10789847040,374272
0.7,10,23121100800,851000
0.7999999999999999,11,25433210880,1292401
0.8999999999999999,12,44040192000,1885248
0.9999999999999999,12,53288632320,2092608
1.0999999999999999,12,53288632320,2299968
1.2,12,66437775360,2507328
1.3,13,71974256640,3451487
1.4,13,71974256640,3715127
1.5,14,91603599360,4969384
1.5999999999999999,15,114504499200,6517125
1.7,15,114504499200,6922125
1.8,16,140928614400,8892416
1.9,17,160432128000,11255683
2.0,18,169869312000,14060952
2.0999999999999996,19,179306496000,17360129
2.1999999999999997,19,179306496000,18183209
2.3,20,214748364800,22168000
2.4,21,225485783040,26773551
2.5,21,225485783040,27884871
2.6,22,236223201280,33338888
2.6999999999999997,22,236223201280,34616648
2.8,23,246960619520,41014957
2.9,23,246960619520,42474997
3.0,24,257698037760,49918464
3.0999999999999996,25,268435456000,58296875
3.1999999999999997,25,268435456000,60171875
3.3,26,279172874240,69794296
3.4,26,279172874240,71903416
3.5,27,289910292480,82885113
3.5999999999999996,28,300647710720,95074112
3.6999999999999997,29,311385128960,108555439
3.8,30,322122547200,123417000
3.9,30,322122547200,126657000
4.0,30,322122547200,129897000
